,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
26,0.0036066532135009765,0.0004954938007779055,0.004991912841796875,0.002282060663741215,gini,3,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 10}",0.8611111111111112,0.9642857142857143,0.9666666666666667,0.9090909090909091,0.8181818181818182,0.9038672438672439,0.057950884053946626,25
27,0.0051952838897705075,0.0017161609436521892,0.008609628677368164,0.005951213431683459,gini,3,15,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 15}",0.8611111111111112,0.9642857142857143,0.9666666666666667,0.9090909090909091,0.8181818181818182,0.9038672438672439,0.057950884053946626,25
28,0.006013011932373047,0.001419974754493206,0.005587530136108398,0.0024138774935961236,gini,5,2,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2}",0.8787878787878788,1.0,0.9375,0.9090909090909091,0.8571428571428571,0.916504329004329,0.04982693855512051,13
29,0.005397701263427734,0.0024172473385440005,0.0048008918762207035,0.0013275682196002394,gini,5,5,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5}",0.90625,1.0,0.9393939393939394,0.9117647058823529,0.8529411764705882,0.9220699643493762,0.04797597212257466,7
30,0.006004047393798828,0.002185031329241602,0.009805393218994141,0.004363251323361398,gini,5,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10}",0.90625,0.9666666666666667,0.9375,0.9090909090909091,0.84375,0.9126515151515152,0.04083175209172032,19
31,0.0057980060577392575,0.0027868866424575313,0.005603885650634766,0.0023336035577734035,gini,5,15,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 15}",0.8611111111111112,0.9642857142857143,0.9375,0.9090909090909091,0.8181818181818182,0.8980339105339106,0.052552413275558936,28
32,0.006001758575439453,0.0016709223599368451,0.005196714401245117,0.0017220737568408983,gini,10,2,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",0.84375,1.0,0.875,0.9354838709677419,0.90625,0.9120967741935484,0.05358277777309957,21
33,0.005200958251953125,0.002560812778264331,0.009396028518676759,0.009850947477280674,gini,10,5,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5}",0.9,1.0,0.9354838709677419,0.9375,0.9032258064516129,0.9352419354838709,0.03596050845822958,2
34,0.005204963684082031,0.0014792155343629557,0.006994009017944336,0.003786929385768776,gini,10,10,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 10}",0.90625,0.9666666666666667,0.9333333333333333,0.9375,0.9,0.9287500000000002,0.023950179771999855,5
35,0.0065939903259277345,0.0013592329587061303,0.005405282974243164,0.001022913230123382,gini,10,15,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 15}",0.8611111111111112,0.9642857142857143,0.9354838709677419,0.9090909090909091,0.8181818181818182,0.8976306847274589,0.05225494248187616,30
36,0.006403112411499023,0.004316856995925567,0.005398941040039062,0.002331328753741923,gini,15,2,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2}",0.90625,1.0,0.8709677419354839,0.90625,0.9090909090909091,0.9185117302052787,0.04310503650493459,11
37,0.004599952697753906,0.001355890308754992,0.004198884963989258,0.00040133170447208635,gini,15,5,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 5}",0.9333333333333333,1.0,0.9333333333333333,0.9375,0.875,0.9358333333333334,0.03958114029012639,1
38,0.0043999671936035155,0.0014959699121570417,0.004000425338745117,0.0006339215828966495,gini,15,10,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 10}",0.9117647058823529,0.9666666666666667,0.9333333333333333,0.9375,0.9,0.9298529411764707,0.02299662312438398,3
39,0.004200124740600586,0.0014670078845883758,0.003998327255249024,0.0006300781286439944,gini,15,15,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 15}",0.8611111111111112,0.9642857142857143,0.9354838709677419,0.9090909090909091,0.8181818181818182,0.8976306847274589,0.05225494248187616,30
